 Name                         Version      License                                                                 Author    
 Pillow                       8.2.0        Historical Permission Notice and Disclaimer (HPND)                      Alex Clark (PIL Fork Author)                                                                    
 albumentations               1.0.3        MIT License                                                             Buslaev Alexander, Alexander Parinov, Vladimir Iglovikov, Eugene Khvedchenya, Druzhinin Mikhail 
 animaloc                     0.2.0        MIT License                                                             Alexandre Delplanque                                                                            
 fiftyone                     0.14.3       Apache Software License                                                 Voxel51, Inc.                                                                                   
 hydra-core                   1.1.0        MIT License                                                             Omry Yadan                                                                                      
 matplotlib                   3.4.1        Python Software Foundation License                                      John D. Hunter, Michael Droettboom                                                              
 numpy                        1.19.2       BSD                                                                     Travis E. Oliphant et al.                                                                       
 pandas                       1.2.3        BSD                                                                     UNKNOWN                                                                                         
 pathtools                    0.1.2        MIT License                                                             Yesudeep Mangalapilly                                                                           
 scikit-learn                 1.0.2        new BSD                                                                 UNKNOWN                                                                                         
 scipy                        1.6.2        BSD License                                                             UNKNOWN                                                                                         
 torch                        1.11.0       BSD License                                                             PyTorch Team                                                                                    
 torchvision                  0.12.0       BSD                                                                     PyTorch Core Team                                                                               
 tqdm                         4.62.3       MIT License; Mozilla Public License 2.0 (MPL 2.0)                       UNKNOWN                                                                                         
 wandb                        0.10.33      MIT License                                                             Weights & Biases                                                                                
